foodgroup,broad_group,broad_group1
added_sugar,Other,Other
dairy_tot,Dairy,Dairy
fruit_exc_juice,Fruit,Fruit
fruit_juice,Fruit,Fruit
gr_refined,Grains,Grains
gr_whole,Grains,Grains
leg_tot,Protein,Plant Protein
oil,Other,Oil
pf_egg,Protein,Animal Protein
pf_ns,Protein,Plant Protein
pf_poultry_tot,Protein,Animal Protein
pf_redm_tot,Protein,Animal Protein
pf_seafood,Protein,Animal Protein
sat_fat,Other,Other
veg_dg,Vegetables,Vegetables
veg_oth,Vegetables,Vegetables
veg_ro,Vegetables,Vegetables
veg_sta,Vegetables,Vegetables