FNDDS code,FNDDS description,Species,FL Score,Weighted_Risk_Total,Weighted_Risk_Total_NOFEED,Notes
26137143,"Salmon, coated, fried, made without fat",Salmon,"Freshwater, average (excluding tilapia)",751,737,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26137110,"Salmon, cooked, NS as to cooking method",Salmon,"Freshwater, average (excluding tilapia)",751,737,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26137100,"Salmon, raw",Salmon,"Freshwater, average (excluding tilapia)",751,737,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26137160,"Salmon, steamed or poached",Salmon,"Freshwater, average (excluding tilapia)",751,737,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
27250070,Salmon cake or patty,Salmon,"Freshwater, canned (excluding tilapia)",578,567,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
27550120,Salmon cake sandwich,Salmon,"Freshwater, canned (excluding tilapia)",578,567,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
27250080,Salmon loaf,Salmon,"Freshwater, canned (excluding tilapia)",578,567,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26137180,"Salmon, canned",Salmon,"Freshwater, canned (excluding tilapia)",578,567,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26137190,"Salmon, smoked",Salmon,"Freshwater, cured (excluding tilapia)",1080,1072,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26139110,"Sardines, cooked",Sardines,"Pelagic, average (excluding tuna)",996,996,
27550510,Sardine sandwich,Sardines,"Pelagic, canned (excluding tuna)",1567,1567,
26139180,"Sardines, canned in oil",Sardines,"Pelagic, canned (excluding tuna)",1567,1567,
26139190,"Sardines, skinless, boneless, packed in water",Sardines,"Pelagic, canned (excluding tuna)",1567,1567,
26317120,"Scallops, baked or broiled, fat added",Scallops,"Molluscs, average",2043,2012,
26317120,"Scallops, baked or broiled, fat added in cooking",Scallops,"Molluscs, average",2043,2012,
26317121,"Scallops, baked or broiled, fat not added in cooking",Scallops,"Molluscs, average",2043,2012,
26317140,"Scallops, coated, fried",Scallops,"Molluscs, average",2043,2012,
26317110,"Scallops, cooked, NS as to cooking method",Scallops,"Molluscs, average",2043,2012,
27151030,Ceviche,Sea bass,"Demersal, average",1306,1306,"We selected sea bass to represent ceviche, even though it can be made with many other types of seafood"
26141120,"Sea bass, baked or broiled, fat added",Sea bass,"Demersal, average",1306,1306,
26141120,"Sea bass, baked or broiled, fat added in cooking",Sea bass,"Demersal, average",1306,1306,
26141130,"Sea bass, coated, baked or broiled, fat added",Sea bass,"Demersal, average",1306,1306,
26141140,"Sea bass, coated, fried",Sea bass,"Demersal, average",1306,1306,
26141110,"Sea bass, cooked, NS as to cooking method",Sea bass,"Demersal, average",1306,1306,
26141160,"Sea bass, steamed or poached",Sea bass,"Demersal, average",1306,1306,
26143120,"Shark, baked or broiled, fat added",Shark,"Demersal, average",1306,1306,
27250130,Shrimp and noodles with cheese sauce,Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27250126,Shrimp and noodles with cream or white sauce,Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27250128,Shrimp and noodles with soy-based sauce,Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27250132,Shrimp and noodles with tomato sauce,Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27250120,"Shrimp and noodles, no sauce",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27450405,"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27450420,"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
28154010,"Shrimp and vegetables in sauce with noodles, diet frozen meal",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27450400,"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27450410,"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27250400,Shrimp cake or patty,Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27350050,Shrimp chow mein or chop suey with noodles,Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27450040,"Shrimp chow mein or chop suey, no noodles",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27150110,Shrimp cocktail,Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27450450,"Shrimp creole, no rice",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27350060,"Shrimp creole, with rice",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27150100,Shrimp curry,Shrimp,"Crustaceans, average (shrimps)",4136,3132,
28355440,Shrimp gumbo,Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27450070,Shrimp salad,Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27150230,Shrimp scampi,Shrimp,"Crustaceans, average (shrimps)",4136,3132,
28355410,"Shrimp soup, cream of, NS as to prepared with milk or water",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
28355420,"Shrimp soup, cream of, prepared with milk",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
28355430,"Shrimp soup, cream of, prepared with water",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27150410,Shrimp teriyaki,Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319121,"Shrimp, baked or broiled, made with butter",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319124,"Shrimp, baked or broiled, made with cooking spray",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319122,"Shrimp, baked or broiled, made with margarine",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319120,"Shrimp, baked or broiled, made with oil",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319123,"Shrimp, baked or broiled, made without fat",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319123,"Shrimp, baked or broiled, no added fat",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319161,"Shrimp, coated, baked or broiled, made with butter",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319160,"Shrimp, coated, baked or broiled, made with oil",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319163,"Shrimp, coated, baked or broiled, made without fat",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319163,"Shrimp, coated, baked or broiled, no added fat",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319145,"Shrimp, coated, fried, from fast food / restaurant",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319140,"Shrimp, coated, fried, made with oil",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319143,"Shrimp, coated, fried, made without fat",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319143,"Shrimp, coated, fried, no added fat",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319110,"Shrimp, cooked, NS as to cooking method",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319130,"Shrimp, steamed or boiled",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27150170,Sweet and sour shrimp,Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319170,"Shrimp, dried",Shrimp,"Crustaceans, cured (shrimps)",4967,4419,
26321110,"Snails, cooked, NS as to cooking method",Snails,"Molluscs, average",2043,2012,
26213120,"Squid, baked or broiled, fat added",Squid,"Cephalopods, average",5846,5846,
26213120,"Squid, baked or broiled, fat added in cooking",Squid,"Cephalopods, average",5846,5846,
26213140,"Squid, coated, fried",Squid,"Cephalopods, average",5846,5846,
26213100,"Squid, raw",Squid,"Cephalopods, average",5846,5846,
26213160,"Squid, steamed or boiled",Squid,"Cephalopods, average",5846,5846,
26213190,"Squid, canned",Squid,"Cephalopods, canned",3334,3334,
26213170,"Squid, dried",Squid,"Cephalopods, cured",9605,9605,
26211100,"Roe, sturgeon",Sturgeon,"Pelagic, canned (excluding tuna)",1567,1567,"Only certain species of sturgeon are harvested for their roe: Caspian Sea and Black Sea, therefore we selected pelagic"
26149120,"Swordfish, baked or broiled, fat added in cooking",Swordfish,"Pelagic, average (excluding tuna)",996,996,We looked into this as a team and decided pelagic
26149160,"Swordfish, steamed or poached",Swordfish,"Pelagic, average (excluding tuna)",996,996,We looked into this as a team and decided pelagic
26158011,"Tilapia, baked or broiled, made with butter",Tilapia,"Freshwater, average (tilapia)",229,225,
26158014,"Tilapia, baked or broiled, made with cooking spray",Tilapia,"Freshwater, average (tilapia)",229,225,
26158012,"Tilapia, baked or broiled, made with margarine",Tilapia,"Freshwater, average (tilapia)",229,225,
26158010,"Tilapia, baked or broiled, made with oil",Tilapia,"Freshwater, average (tilapia)",229,225,
26158013,"Tilapia, baked or broiled, made without fat",Tilapia,"Freshwater, average (tilapia)",229,225,
26158013,"Tilapia, baked or broiled, no added fat",Tilapia,"Freshwater, average (tilapia)",229,225,
26158020,"Tilapia, coated, baked or broiled, made  with oil",Tilapia,"Freshwater, average (tilapia)",229,225,
26158021,"Tilapia, coated, baked or broiled, made with butter",Tilapia,"Freshwater, average (tilapia)",229,225,
26158024,"Tilapia, coated, baked or broiled, made with cooking spray",Tilapia,"Freshwater, average (tilapia)",229,225,
26158020,"Tilapia, coated, baked or broiled, made with oil",Tilapia,"Freshwater, average (tilapia)",229,225,
26158023,"Tilapia, coated, baked or broiled, made without fat",Tilapia,"Freshwater, average (tilapia)",229,225,
26158023,"Tilapia, coated, baked or broiled, no added fat",Tilapia,"Freshwater, average (tilapia)",229,225,
26158031,"Tilapia, coated, fried, made with butter",Tilapia,"Freshwater, average (tilapia)",229,225,
26158034,"Tilapia, coated, fried, made with cooking spray",Tilapia,"Freshwater, average (tilapia)",229,225,
26158032,"Tilapia, coated, fried, made with margarine",Tilapia,"Freshwater, average (tilapia)",229,225,
26158030,"Tilapia, coated, fried, made with oil",Tilapia,"Freshwater, average (tilapia)",229,225,
26158033,"Tilapia, coated, fried, made without fat",Tilapia,"Freshwater, average (tilapia)",229,225,
26158000,"Tilapia, cooked, NS as to cooking method",Tilapia,"Freshwater, average (tilapia)",229,225,
26158050,"Tilapia, steamed or poached",Tilapia,"Freshwater, average (tilapia)",229,225,
26151121,"Trout, baked or broiled, made with butter",Trout,"Freshwater, average (excluding tilapia)",751,737,
26151120,"Trout, baked or broiled, made with oil",Trout,"Freshwater, average (excluding tilapia)",751,737,
26151130,"Trout, coated, baked or broiled, made with oil",Trout,"Freshwater, average (excluding tilapia)",751,737,
26151133,"Trout, coated, baked or broiled, no added fat",Trout,"Freshwater, average (excluding tilapia)",751,737,
26151142,"Trout, coated, fried, made with margarine",Trout,"Freshwater, average (excluding tilapia)",751,737,
26151140,"Trout, coated, fried, made with oil",Trout,"Freshwater, average (excluding tilapia)",751,737,
26151110,"Trout, cooked, NS as to cooking method",Trout,"Freshwater, average (excluding tilapia)",751,737,
26151160,"Trout, steamed or poached",Trout,"Freshwater, average (excluding tilapia)",751,737,
26151190,"Trout, smoked",Trout,"Freshwater, cured (excluding tilapia)",1080,1072,
26153120,"Tuna, fresh, baked or broiled, fat added",Tuna,"Pelagic, average (tuna)",1406,1406,
26153120,"Tuna, fresh, baked or broiled, fat added in cooking",Tuna,"Pelagic, average (tuna)",1406,1406,
26153122,"Tuna, fresh, baked or broiled, fat not added in cooking",Tuna,"Pelagic, average (tuna)",1406,1406,
26153122,"Tuna, fresh, baked or broiled, no added fat",Tuna,"Pelagic, average (tuna)",1406,1406,
26153131,"Tuna, fresh, coated, baked or broiled, no added fat",Tuna,"Pelagic, average (tuna)",1406,1406,
26153110,"Tuna, fresh, cooked, NS as to cooking method",Tuna,"Pelagic, average (tuna)",1406,1406,
26153100,"Tuna, fresh, raw",Tuna,"Pelagic, average (tuna)",1406,1406,
26153160,"Tuna, fresh, steamed or poached",Tuna,"Pelagic, average (tuna)",1406,1406,
27250160,Tuna cake or patty,Tuna,"Pelagic, canned (tuna)",1214,1214,
27250610,Tuna noodle casserole with cream or white sauce,Tuna,"Pelagic, canned (tuna)",1214,1214,
27250630,Tuna noodle casserole with mushroom sauce,Tuna,"Pelagic, canned (tuna)",1214,1214,
27350080,"Tuna noodle casserole with vegetables, cream or white sauce",Tuna,"Pelagic, canned (tuna)",1214,1214,
27550720,"Tuna salad sandwich, on bread",Tuna,"Pelagic, canned (tuna)",1214,1214,
27550730,"Tuna salad sandwich, on bread, with cheese",Tuna,"Pelagic, canned (tuna)",1214,1214,
27550740,"Tuna salad sandwich, on bun",Tuna,"Pelagic, canned (tuna)",1214,1214,
27550745,"Tuna salad sandwich, on bun, with cheese",Tuna,"Pelagic, canned (tuna)",1214,1214,
27550751,"Tuna salad submarine sandwich, with cheese, lettuce and tomato",Tuna,"Pelagic, canned (tuna)",1214,1214,
27550750,"Tuna salad submarine sandwich, with lettuce and tomato",Tuna,"Pelagic, canned (tuna)",1214,1214,
27450090,Tuna salad with cheese,Tuna,"Pelagic, canned (tuna)",1214,1214,
27450100,Tuna salad with egg,Tuna,"Pelagic, canned (tuna)",1214,1214,
27550755,Tuna salad wrap sandwich,Tuna,"Pelagic, canned (tuna)",1214,1214,
27450066,"Tuna salad, made with Italian dressing",Tuna,"Pelagic, canned (tuna)",1214,1214,
27450068,"Tuna salad, made with any type of fat free dressing",Tuna,"Pelagic, canned (tuna)",1214,1214,
27450064,"Tuna salad, made with creamy dressing",Tuna,"Pelagic, canned (tuna)",1214,1214,
27450061,"Tuna salad, made with light mayonnaise",Tuna,"Pelagic, canned (tuna)",1214,1214,
27450063,"Tuna salad, made with light mayonnaise-type salad dressing",Tuna,"Pelagic, canned (tuna)",1214,1214,
27450060,"Tuna salad, made with mayonnaise",Tuna,"Pelagic, canned (tuna)",1214,1214,
27450062,"Tuna salad, made with mayonnaise-type salad dressing",Tuna,"Pelagic, canned (tuna)",1214,1214,
26155110,"Tuna, canned, NS as to oil or water pack",Tuna,"Pelagic, canned (tuna)",1214,1214,
26155180,"Tuna, canned, oil pack",Tuna,"Pelagic, canned (tuna)",1214,1214,
26155190,"Tuna, canned, water pack",Tuna,"Pelagic, canned (tuna)",1214,1214,
26153170,"Tuna, fresh, dried",Tuna,"Pelagic, cured (tuna)",331,331,
26215120,"Turtle, cooked, NS as to cooking method",Turtle,Aquatic animals,440,440,
27250810,Fish and rice with tomato-based sauce,Unspecified,Unspecified fish,1674.14,1414.46,
28351110,"Fish and vegetable soup, no potatoes, Mexican style",Unspecified,Unspecified fish,1674.14,1414.46,
27450750,"Fish and vegetables excluding  carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",Unspecified,Unspecified fish,1674.14,1414.46,
27450710,"Fish and vegetables excluding carrots, broccoli, and dark- green leafy; no potatoes, tomato-based sauce",Unspecified,Unspecified fish,1674.14,1414.46,
27450740,"Fish and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",Unspecified,Unspecified fish,1674.14,1414.46,
27450700,"Fish and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",Unspecified,Unspecified fish,1674.14,1414.46,
27250050,"Fish cake or patty, NS as to fish",Unspecified,Unspecified fish,1674.14,1414.46,
28350050,Fish chowder,Unspecified,Unspecified fish,1674.14,1414.46,
27150320,Fish curry,Unspecified,Unspecified fish,1674.14,1414.46,
27150325,Fish curry with rice,Unspecified,Unspecified fish,1674.14,1414.46,
28150510,"Fish in lemon-butter sauce with starch item, vegetable, frozen meal",Unspecified,Unspecified fish,1674.14,1414.46,
27150250,Fish moochim,Unspecified,Unspecified fish,1674.14,1414.46,
27550300,"Fish sandwich, NFS",Unspecified,Unspecified fish,1674.14,1414.46,
27550000,"Fish sandwich, fried, from fast food",Unspecified,Unspecified fish,1674.14,1414.46,
27550100,"Fish sandwich, fried, from fast food, with cheese",Unspecified,Unspecified fish,1674.14,1414.46,
27550410,"Fish sandwich, fried, on wheat bun",Unspecified,Unspecified fish,1674.14,1414.46,
27550400,"Fish sandwich, fried, on white bun",Unspecified,Unspecified fish,1674.14,1414.46,
27550405,"Fish sandwich, fried, on white bun, with cheese",Unspecified,Unspecified fish,1674.14,1414.46,
27550200,"Fish sandwich, from school cafeteria",Unspecified,Unspecified fish,1674.14,1414.46,
27550420,"Fish sandwich, grilled",Unspecified,Unspecified fish,1674.14,1414.46,
27550100,"Fish sandwich, on bun, with cheese and spread",Unspecified,Unspecified fish,1674.14,1414.46,
27550000,"Fish sandwich, on bun, with spread",Unspecified,Unspecified fish,1674.14,1414.46,
26100260,"Fish stick, patty or nugget from fast food",Unspecified,Unspecified fish,1674.14,1414.46,
26100270,"Fish stick, patty or nugget from restaurant, home, or other place",Unspecified,Unspecified fish,1674.14,1414.46,
28350040,"Fish stock, home recipe",Unspecified,Unspecified fish,1674.14,1414.46,
27150310,Fish with tomato-based sauce,Unspecified,Unspecified fish,1674.14,1414.46,
27550425,Fish wrap sandwich,Unspecified,Unspecified fish,1674.14,1414.46,
26100122,"Fish, NS as to type, baked or broiled, made with margarine",Unspecified,Unspecified fish,1674.14,1414.46,
26100120,"Fish, NS as to type, baked or broiled, made with oil",Unspecified,Unspecified fish,1674.14,1414.46,
26100123,"Fish, NS as to type, baked or broiled, made without fat",Unspecified,Unspecified fish,1674.14,1414.46,
26100123,"Fish, NS as to type, baked or broiled, no added fat",Unspecified,Unspecified fish,1674.14,1414.46,
26100180,"Fish, NS as to type, canned",Unspecified,Unspecified fish,1674.14,1414.46,
26100130,"Fish, NS as to type, coated, baked or broiled, made with oil",Unspecified,Unspecified fish,1674.14,1414.46,
26100133,"Fish, NS as to type, coated, baked or broiled, made without fat",Unspecified,Unspecified fish,1674.14,1414.46,
26100133,"Fish, NS as to type, coated, baked or broiled, no added fat",Unspecified,Unspecified fish,1674.14,1414.46,
26100142,"Fish, NS as to type, coated, fried, made with margarine",Unspecified,Unspecified fish,1674.14,1414.46,
26100140,"Fish, NS as to type, coated, fried, made with oil",Unspecified,Unspecified fish,1674.14,1414.46,
26100110,"Fish, NS as to type, cooked, NS as to cooking method",Unspecified,Unspecified fish,1674.14,1414.46,
26100170,"Fish, NS as to type, dried",Unspecified,Unspecified fish,1674.14,1414.46,
26100200,"Fish, NS as to type, from fast food",Unspecified,Unspecified fish,1674.14,1414.46,
26100100,"Fish, NS as to type, raw",Unspecified,Unspecified fish,1674.14,1414.46,
26100190,"Fish, NS as to type, smoked",Unspecified,Unspecified fish,1674.14,1414.46,
26100160,"Fish, NS as to type, steamed",Unspecified,Unspecified fish,1674.14,1414.46,
27550150,Fried seafood sandwich,Unspecified,Unspecified fish,1674.14,1414.46,
27250520,Seafood restructured,Unspecified,Unspecified fish,1674.14,1414.46,
27450080,Seafood salad,Unspecified,Unspecified fish,1674.14,1414.46,
27550800,Seafood salad sandwich,Unspecified,Unspecified fish,1674.14,1414.46,
27150140,Seafood sauce,Unspecified,Unspecified fish,1674.14,1414.46,
28355450,"Seafood soup with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy",Unspecified,Unspecified fish,1674.14,1414.46,
28355460,"Seafood soup with potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy",Unspecified,Unspecified fish,1674.14,1414.46,
28355480,"Seafood soup with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes",Unspecified,Unspecified fish,1674.14,1414.46,
28355470,"Seafood soup with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes",Unspecified,Unspecified fish,1674.14,1414.46,
27150151,Spaghetti sauce with seafood,Unspecified,Unspecified fish,1674.14,1414.46,
27150155,Spaghetti sauce with seafood and added vegetables,Unspecified,Unspecified fish,1674.14,1414.46,
26157120,"Whiting, baked or broiled, made with oil",Whiting,"Demersal, average",1306,1306,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26157123,"Whiting, baked or broiled, made without fat",Whiting,"Demersal, average",1306,1306,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26157123,"Whiting, baked or broiled, no added fat",Whiting,"Demersal, average",1306,1306,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26157132,"Whiting, coated, baked or broiled, made with margarine",Whiting,"Demersal, average",1306,1306,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26157133,"Whiting, coated, baked or broiled, made without fat",Whiting,"Demersal, average",1306,1306,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26157140,"Whiting, coated, fried, made with oil",Whiting,"Demersal, average",1306,1306,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26157110,"Whiting, cooked, NS as to cooking method",Whiting,"Demersal, average",1306,1306,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26157160,"Whiting, steamed or poached",Whiting,"Demersal, average",1306,1306,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
